City_ID,City,Country,Max Temp,Current Desc,Lat,Lng,Hotel Name
1,Georgetown,MY,87.75,few clouds,5.4112,100.3354,Cititel Penang
2,Kungurtug,RU,72.37,overcast clouds,50.5994,97.5228,
4,Sabana De Torres,CO,79.41,scattered clouds,7.3915,-73.4957,Hotel el Milagro
5,Seymchan,RU,60.01,few clouds,62.8833,152.4333,
6,Labuhan,ID,86.13,clear sky,-6.8844,112.2051,PT PPI Lamongan Tambak C
7,Abu Samrah,SY,76.93,clear sky,35.3029,37.1841,
11,Hobart,AU,63.01,broken clouds,-42.8794,147.3294,Mantra on Collins Hobart
12,Poronaysk,RU,63.32,overcast clouds,49.2167,143.1167,Avtovokzal Khostel Stolovaya
13,Jamestown,US,63.36,broken clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
14,Tual,ID,81.09,scattered clouds,-5.6667,132.75,Grand Vilia Hotel
16,Flinders,AU,70.05,scattered clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
17,Vaini,TO,77.16,moderate rain,-21.2,-175.2,Keleti Beach Resort
19,Ariogala,LT,61.38,clear sky,55.2667,23.4667,"Prie Dubysos, kaimo turizmo sodyba"
20,New Norfolk,AU,62.65,overcast clouds,-42.7826,147.0587,The Shingles Riverside Cottages
21,Cabo San Lucas,MX,89.82,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
22,Havelock,US,82.94,clear sky,34.8791,-76.9013,Sherwood Motel
24,Avarua,CK,77.05,broken clouds,-21.2078,-159.775,Paradise Inn
28,Mumford,GH,75.16,overcast clouds,5.2618,-0.759,Spanish Villa
31,Antalaha,MG,69.4,light rain,-14.9003,50.2788,Hotel Vitasoa
33,Saint-Philippe,RE,65.79,few clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
35,Kortkeros,RU,60.8,overcast clouds,61.8106,51.5806,SCP FOUNDATION
36,Praia,CV,75.74,broken clouds,14.9215,-23.5087,LT Aparthotel
37,Kapaa,US,85.98,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
38,Hilo,US,75.25,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
39,Torbay,CA,61.75,moderate rain,47.6666,-52.7314,Gallows Cove
41,Lorengau,PG,84.2,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
42,La Cruz,MX,85.46,clear sky,23.9167,-106.9,LIBERADOR DE CELULAS MADRE ADULTAS
44,Mahebourg,MU,70.09,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
46,Turukhansk,RU,65.37,overcast clouds,65.8167,87.9833,"ООО ""Туруханская пушнина"""
47,Bubaque,GW,78.04,moderate rain,11.2833,-15.8333,"Casa Dora, Bubaque"
48,Yellowknife,CA,73.92,few clouds,62.456,-114.3525,The Explorer Hotel
49,Ponta Do Sol,PT,69.71,clear sky,32.6667,-17.1,Hotel do Campo
50,Mantua,IT,74.7,clear sky,45.1667,10.7833,Hotel la Favorita
51,Ribeira Grande,PT,70.5,overcast clouds,38.5167,-28.7,Quinta da Meia Eira
53,Mujiayingzi,CN,82.45,overcast clouds,42.1167,118.7833,Jinjiang Hotel
58,Bairiki,KI,86.0,broken clouds,1.3292,172.9752,Tarawa Boutique Hotel
59,Preobrazheniye,RU,79.86,few clouds,42.9019,133.9064,Campsite Orlan
60,Bethel,US,68.58,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
