City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Desc
0,Hermanus,ZA,-34.4187,19.2345,51.91,79,4,5.46,clear sky
1,Georgetown,MY,5.4112,100.3354,87.75,66,20,5.75,few clouds
2,Kungurtug,RU,50.5994,97.5228,72.37,29,100,2.21,overcast clouds
3,Albany,US,42.6001,-73.9662,58.87,79,0,5.57,clear sky
4,Sabana De Torres,CO,7.3915,-73.4957,79.41,91,35,3.8,scattered clouds
5,Seymchan,RU,62.8833,152.4333,60.01,39,20,2.19,few clouds
6,Labuhan,ID,-6.8844,112.2051,86.13,59,0,7.45,clear sky
7,Abu Samrah,SY,35.3029,37.1841,76.93,56,0,7.54,clear sky
8,Berezovyy,RU,51.6667,135.7,55.24,83,100,5.35,overcast clouds
9,Port Alfred,ZA,-33.5906,26.891,57.58,64,0,6.46,clear sky
10,Chuy,UY,-33.6971,-53.4616,43.57,86,0,6.91,clear sky
11,Hobart,AU,-42.8794,147.3294,63.01,56,75,3.0,broken clouds
12,Poronaysk,RU,49.2167,143.1167,63.32,88,100,4.68,overcast clouds
13,Jamestown,US,42.097,-79.2353,63.36,82,75,3.44,broken clouds
14,Tual,ID,-5.6667,132.75,81.09,77,26,14.09,scattered clouds
15,Barrow,US,71.2906,-156.7887,50.02,87,90,11.5,light rain
16,Flinders,AU,-34.5833,150.8552,70.05,48,38,13.96,scattered clouds
17,Vaini,TO,-21.2,-175.2,77.16,88,75,20.71,moderate rain
18,Provideniya,RU,64.3833,-173.3,47.03,93,100,5.7,light rain
19,Ariogala,LT,55.2667,23.4667,61.38,80,5,11.5,clear sky
20,New Norfolk,AU,-42.7826,147.0587,62.65,60,85,4.0,overcast clouds
21,Cabo San Lucas,MX,22.8909,-109.9124,89.82,72,1,5.99,clear sky
22,Havelock,US,34.8791,-76.9013,82.94,92,1,4.0,clear sky
23,Kodiak,US,57.79,-152.4072,58.51,63,90,3.44,overcast clouds
24,Avarua,CK,-21.2078,-159.775,77.05,65,75,13.8,broken clouds
25,Mataura,NZ,-46.1927,168.8643,49.48,99,100,0.6,overcast clouds
26,Esperance,AU,-33.8667,121.9,55.24,62,18,23.0,few clouds
27,Ushuaia,AR,-54.8,-68.3,35.26,69,40,3.44,scattered clouds
28,Mumford,GH,5.2618,-0.759,75.16,88,100,6.78,overcast clouds
29,Castro,BR,-24.7911,-50.0119,34.92,94,98,4.63,overcast clouds
30,Punta Arenas,CL,-53.15,-70.9167,37.51,75,0,23.02,clear sky
31,Antalaha,MG,-14.9003,50.2788,69.4,82,85,7.81,light rain
32,Lata,PT,40.1629,-8.3327,59.92,86,88,6.4,overcast clouds
33,Saint-Philippe,RE,-21.3585,55.7679,65.79,70,22,9.57,few clouds
34,Kautokeino,NO,69.0125,23.0412,47.79,83,100,5.03,overcast clouds
