City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Lagoa,PT,2021-07-30 01:10:10,39.05,-27.9833,69.82,90,0,9.04
1,Busselton,AU,2021-07-30 01:10:11,-33.65,115.3333,50.09,70,85,26.44
2,Hermanus,ZA,2021-07-30 01:10:11,-34.4187,19.2345,51.91,81,18,7.85
3,Pevek,RU,2021-07-30 01:10:12,69.7008,170.3133,32.04,98,100,25.64
4,New Norfolk,AU,2021-07-30 01:10:12,-42.7826,147.0587,53.92,70,100,1.99
5,Raudeberg,NO,2021-07-30 01:10:12,61.9875,5.1352,60.19,93,100,15.3
6,Hobart,AU,2021-07-30 01:10:13,-42.8794,147.3294,54.27,65,75,1.99
7,Yellowknife,CA,2021-07-30 01:05:38,62.456,-114.3525,71.29,46,88,11.01
8,Beloha,MG,2021-07-30 01:10:13,-25.1667,45.05,64.69,76,13,5.08
9,East London,ZA,2021-07-30 01:10:14,-33.0153,27.9116,57.6,67,0,6.4
10,Zemio,CF,2021-07-30 01:10:14,5.0314,25.1361,67.62,94,67,1.5
11,Puerto Ayora,EC,2021-07-30 01:10:15,-0.7393,-90.3518,71.28,89,33,7.56
12,Rikitea,PF,2021-07-30 01:10:15,-23.1203,-134.9692,71.64,76,5,3.76
13,Aldama,MX,2021-07-30 01:10:16,22.9167,-98.0667,83.5,76,100,7.29
14,Saskylakh,RU,2021-07-30 01:10:16,71.9167,114.0833,80.92,39,24,6.2
15,Ushuaia,AR,2021-07-30 01:10:17,-54.8,-68.3,42.46,49,0,10.36
16,Barrow,US,2021-07-30 01:10:17,71.2906,-156.7887,53.62,82,90,5.75
17,Juntas,CR,2021-07-30 01:10:17,10.2809,-84.9595,76.21,87,28,5.28
18,Bodo,NO,2021-07-30 01:10:18,67.28,14.405,55.65,93,20,1.14
19,Touros,BR,2021-07-30 01:10:18,-5.1989,-35.4608,76.1,81,20,12.35
20,Qaanaaq,GL,2021-07-30 01:10:19,77.484,-69.3632,40.12,88,87,8.79
21,Georgetown,MY,2021-07-30 01:10:19,5.4112,100.3354,78.89,86,20,1.99
22,Genhe,CN,2021-07-30 01:10:20,50.7833,121.5167,73.67,55,2,3.87
23,Hithadhoo,MV,2021-07-30 01:10:20,-0.6,73.0833,82.18,71,98,4.14
24,Champasak,LA,2021-07-30 01:06:03,14.75,106.0,77.4,96,100,1.97
25,Khatanga,RU,2021-07-30 01:10:21,71.9667,102.5,79.97,50,0,9.57
26,Coruripe,BR,2021-07-30 01:10:21,-10.1256,-36.1756,72.52,87,0,6.49
27,Cidreira,BR,2021-07-30 01:10:21,-30.1811,-50.2056,45.43,71,16,9.06
28,Punta Arenas,CL,2021-07-30 01:10:22,-53.15,-70.9167,39.11,87,0,17.27
